Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Chile,CHL,2024,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,677077571.11
Chile,CHL,2023,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,601371092.94
Chile,CHL,2022,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,513100658.81
Chile,CHL,2021,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,496299255.667578
Chile,CHL,2020,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,379690903.233987
Chile,CHL,2019,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,382946372.909109
Chile,CHL,2018,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,374911761.820047
Chile,CHL,2017,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,346544543.4728
Chile,CHL,2016,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,344413567.203983
Chile,CHL,2015,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,316877638.155701
Chile,CHL,2014,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,342669388.91258
Chile,CHL,2013,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,352629578.01145
Chile,CHL,2012,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,396182481.843844
Chile,CHL,2011,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,339874690.690348
Chile,CHL,2010,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,286135584.18796
Chile,CHL,2009,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,255242155.975526
Chile,CHL,2008,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,303479743.56907
Chile,CHL,2007,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,234246828.19637
Chile,CHL,2006,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,221644988.70972
Chile,CHL,2005,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,233714549.664658
Chile,CHL,2004,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,266399208.647847
Chile,CHL,2003,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,239723700.831743
Chile,CHL,2002,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,224699000
Chile,CHL,2001,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,167555856.866015
Chile,CHL,2000,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,240700000
Chile,CHL,1999,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,212900000
Chile,CHL,1998,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,228800000
Chile,CHL,1997,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,217900000
Chile,CHL,1996,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,219700000
Chile,CHL,1995,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,179000000
Chile,CHL,1994,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,76900000
Chile,CHL,1993,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,52700000
Chile,CHL,1992,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,35300000
Chile,CHL,1991,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,31200000
Chile,CHL,1990,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,17400000
Chile,CHL,1989,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,2100000
Chile,CHL,1988,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,4600000
Chile,CHL,1987,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,43700000
Chile,CHL,1986,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,26800000
Chile,CHL,1985,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1000000
Chile,CHL,1984,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,13000000
Chile,CHL,1983,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,13000000
Chile,CHL,1982,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,9000000
Chile,CHL,1981,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,5000000
Chile,CHL,1980,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,4000000
Chile,CHL,1979,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,4000000
Chile,CHL,1977,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1000000
Chile,CHL,1976,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1000000
Chile,CHL,1975,"ICT service exports (BoP, current US$)",BX.GSR.CCIS.CD,1000000
Chile,CHL,2024,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.66245224602403
Chile,CHL,2023,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.84854596659522
Chile,CHL,2022,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.99142162851181
Chile,CHL,2021,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,8.4926102592581
Chile,CHL,2020,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,6.83578641640091
Chile,CHL,2019,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.52527243942323
Chile,CHL,2018,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.0637779416345
Chile,CHL,2017,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.76942660286086
Chile,CHL,2016,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.00467248109111
Chile,CHL,2015,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.70297574878314
Chile,CHL,2014,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.51650624239058
Chile,CHL,2013,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.1806101222584
Chile,CHL,2012,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.50523465265271
Chile,CHL,2011,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.83700534515946
Chile,CHL,2010,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.80551052741032
Chile,CHL,2009,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.16005266835831
Chile,CHL,2008,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.01344332053573
Chile,CHL,2007,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.73863427728682
Chile,CHL,2006,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.00899257476
Chile,CHL,2005,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,3.51002367707796
Chile,CHL,2004,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.61652498201514
Chile,CHL,2003,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.97472210350229
Chile,CHL,2002,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.12168230713628
Chile,CHL,2001,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.0484376440671
Chile,CHL,2000,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.89479050001346
Chile,CHL,1999,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.50226451143931
Chile,CHL,1998,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.78904877817989
Chile,CHL,1997,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.59846551305083
Chile,CHL,1996,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,6.12274786258206
Chile,CHL,1995,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,5.3706981907648
Chile,CHL,1994,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.70784182541639
Chile,CHL,1993,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.09567741678928
Chile,CHL,1992,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.49576271186441
Chile,CHL,1991,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.46706164480181
Chile,CHL,1990,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.941507494183215
Chile,CHL,1989,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.136874694476128
Chile,CHL,1988,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.422057069455913
Chile,CHL,1987,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,4.18181818181818
Chile,CHL,1986,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,2.57429927189595
Chile,CHL,1985,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.144400161728181
Chile,CHL,1984,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.9578313253012
Chile,CHL,1983,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,1.63111668757842
Chile,CHL,1982,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.961538461538462
Chile,CHL,1981,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.426621160409556
Chile,CHL,1980,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.316706254948535
Chile,CHL,1979,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.509554140127389
Chile,CHL,1977,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.239808153477218
Chile,CHL,1976,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.336700336700337
Chile,CHL,1975,"ICT service exports (% of service exports, BoP)",BX.GSR.CCIS.ZS,0.403225806451613
Chile,CHL,2023,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,17.2832752057261
Chile,CHL,2022,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.6392801423894
Chile,CHL,2021,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.6132609239019
Chile,CHL,2020,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,31.0383008107818
Chile,CHL,2019,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.2718370822394
Chile,CHL,2018,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.3047887392366
Chile,CHL,2017,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.8868245156905
Chile,CHL,2016,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,38.1400156301208
Chile,CHL,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,37.1668390484525
Chile,CHL,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.7560386132037
Chile,CHL,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,41.3809621569835
Chile,CHL,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,36.3249272411865
Chile,CHL,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,29.8555841309939
Chile,CHL,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,27.9081311844326
Chile,CHL,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,24.5331181449886
Chile,CHL,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,23.636607262495
Chile,CHL,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.6614708848211
Chile,CHL,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,19.1594360086768
Chile,CHL,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,13.7413306912583
Chile,CHL,2004,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,15.0718637712857
Chile,CHL,2003,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,10.4166221785646
Chile,CHL,2002,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.568317647867
Chile,CHL,2001,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.3728809574193
Chile,CHL,2000,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,21.1263037077698
Chile,CHL,1999,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,33.2638707996874
Chile,CHL,1998,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,31.9411980061393
Chile,CHL,1997,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,28.1526864282067
Chile,CHL,1996,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,30.9081443399603
Chile,CHL,1995,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,22.8030113818818
Chile,CHL,1994,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,18.5662855560391
Chile,CHL,1993,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.8693496646253
